;GRID_NO;geometry_y
0;95097;POLYGON ((5.910842638361382 49.5140124496994, 5.929626804307842 49.28957867539324, 5.586557931433485 49.276621286119536, 5.5661999755148655 49.50098627643002, 5.910842638361382 49.5140124496994))
15341;95098;POLYGON ((6.255647493505524 49.525986046835285, 6.272855031606914 49.30148900718661, 5.929626804307842 49.28957867539324, 5.910842638361382 49.5140124496994, 6.255647493505524 49.525986046835285))
30682;95099;POLYGON ((6.6006010179190095 49.5369063025417, 6.616229325126194 49.31235153017931, 6.272855031606914 49.30148900718661, 6.255647493505524 49.525986046835285, 6.6006010179190095 49.5369063025417))
46023;96097;POLYGON ((5.891839342248187 49.73842439344096, 5.910842638361382 49.5140124496994, 5.5661999755148655 49.50098627643002, 5.54560467103163 49.72532860892158, 5.891839342248187 49.73842439344096))
61364;96098;POLYGON ((6.238239108072752 49.7504620174264, 6.255647493505524 49.525986046835285, 5.910842638361382 49.5140124496994, 5.891839342248187 49.73842439344096, 6.238239108072752 49.7504620174264))
76705;96099;POLYGON ((6.584790205378607 49.76144070128138, 6.6006010179190095 49.5369063025417, 6.255647493505524 49.525986046835285, 6.238239108072752 49.7504620174264, 6.584790205378607 49.76144070128138))
92046;97097;POLYGON ((5.872613235267614 49.96281530509474, 5.891839342248187 49.73842439344096, 5.54560467103163 49.72532860892158, 5.524768034710623 49.94964906804712, 5.872613235267614 49.96281530509474))
107387;97098;POLYGON ((6.220626499024471 49.974917730361696, 6.238239108072752 49.7504620174264, 5.891839342248187 49.73842439344096, 5.872613235267614 49.96281530509474, 6.220626499024471 49.974917730361696))
122728;97099;POLYGON ((6.56879381733239 49.985955549616584, 6.584790205378607 49.76144070128138, 6.238239108072752 49.7504620174264, 6.220626499024471 49.974917730361696, 6.56879381733239 49.985955549616584))
138069;98097;POLYGON ((5.8531605523534775 50.1871859813507, 5.872613235267614 49.96281530509474, 5.524768034710623 49.94964906804712, 5.503685992074012 50.17394843615197, 5.8531605523534775 50.1871859813507))
153410;98098;POLYGON ((6.2028062126135755 50.199353995551995, 6.220626499024471 49.974917730361696, 5.872613235267614 49.96281530509474, 5.8531605523534775 50.1871859813507, 6.2028062126135755 50.199353995551995))
