;GRID_NO;DAY;TEMPERATURE_MAX;reference_temperature;0.25;0.75;magnitude
65;95097;1982-07-09;32.0;29.7;31.3;34.4;0.22580645161290316
97;95097;1983-07-10;31.7;29.8;31.3;34.4;0.12903225806451576
98;95097;1983-07-11;32.0;29.9;31.3;34.4;0.22580645161290316
99;95097;1983-07-12;31.6;30.1;31.3;34.4;0.0967741935483874
100;95097;1983-07-16;32.0;30.2;31.3;34.4;0.22580645161290316
101;95097;1983-07-17;33.1;30.3;31.3;34.4;0.5806451612903232
103;95097;1983-07-26;33.6;30.5;31.3;34.4;0.7419354838709685
105;95097;1983-07-28;31.8;30.5;31.3;34.4;0.16129032258064527
107;95097;1983-07-31;35.5;30.5;31.3;34.4;1.3548387096774201
109;95097;1983-08-19;31.5;29.2;31.3;34.4;0.06451612903225788
130;95097;1984-07-10;31.9;29.8;31.3;34.4;0.19354838709677363
131;95097;1984-07-11;32.7;29.9;31.3;34.4;0.45161290322580744
132;95097;1984-07-30;32.0;30.5;31.3;34.4;0.22580645161290316
148;95097;1985-08-14;31.7;29.8;31.3;34.4;0.12903225806451576
175;95097;1986-08-03;34.4;30.4;31.3;34.4;1.0
242;95097;1989-07-22;33.2;30.4;31.3;34.4;0.6129032258064527
308;95097;1990-07-28;33.6;30.5;31.3;34.4;0.7419354838709685
309;95097;1990-08-01;31.9;30.4;31.3;34.4;0.19354838709677363
310;95097;1990-08-02;32.9;30.4;31.3;34.4;0.5161290322580642
311;95097;1990-08-03;33.6;30.4;31.3;34.4;0.7419354838709685
312;95097;1990-08-04;34.2;30.390000000000008;31.3;34.4;0.9354838709677432
313;95097;1990-08-05;32.0;30.3;31.3;34.4;0.22580645161290316
315;95097;1990-08-12;34.0;29.99000000000001;31.3;34.4;0.8709677419354842
340;95097;1991-07-07;31.9;29.6;31.3;34.4;0.19354838709677363
342;95097;1991-07-11;34.2;29.9;31.3;34.4;0.9354838709677432
344;95097;1991-08-06;32.0;30.2;31.3;34.4;0.22580645161290316
345;95097;1991-08-07;32.0;30.2;31.3;34.4;0.22580645161290316
370;95097;1992-07-30;31.9;30.5;31.3;34.4;0.19354838709677363
371;95097;1992-08-07;31.4;30.2;31.3;34.4;0.032258064516128365
372;95097;1992-08-08;34.0;30.1;31.3;34.4;0.8709677419354842
373;95097;1992-08-09;32.0;30.1;31.3;34.4;0.22580645161290316
415;95097;1994-07-02;31.5;29.390000000000008;31.3;34.4;0.06451612903225788
416;95097;1994-07-03;33.9;29.4;31.3;34.4;0.8387096774193548
417;95097;1994-07-04;31.4;29.4;31.3;34.4;0.032258064516128365
419;95097;1994-07-13;32.0;30.1;31.3;34.4;0.22580645161290316
421;95097;1994-07-23;32.2;30.5;31.3;34.4;0.2903225806451622
422;95097;1994-07-24;31.6;30.59000000000001;31.3;34.4;0.0967741935483874
423;95097;1994-07-26;31.4;30.5;31.3;34.4;0.032258064516128365
424;95097;1994-07-27;33.6;30.5;31.3;34.4;0.7419354838709685
426;95097;1994-08-03;34.4;30.4;31.3;34.4;1.0
427;95097;1994-08-04;33.6;30.390000000000008;31.3;34.4;0.7419354838709685
428;95097;1994-08-05;33.2;30.3;31.3;34.4;0.6129032258064527
456;95097;1995-07-09;31.9;29.7;31.3;34.4;0.19354838709677363
457;95097;1995-07-10;33.7;29.8;31.3;34.4;0.774193548387098
458;95097;1995-07-20;32.9;30.4;31.3;34.4;0.5161290322580642
459;95097;1995-07-21;35.6;30.4;31.3;34.4;1.3870967741935496
460;95097;1995-08-01;32.2;30.4;31.3;34.4;0.2903225806451622
505;95097;1997-08-24;32.4;28.5;31.3;34.4;0.35483870967741893
506;95097;1997-08-25;31.5;28.4;31.3;34.4;0.06451612903225788
550;95097;1998-08-08;33.5;30.1;31.3;34.4;0.709677419354839
551;95097;1998-08-09;33.4;30.1;31.3;34.4;0.6774193548387094
552;95097;1998-08-10;35.2;30.1;31.3;34.4;1.2580645161290338
553;95097;1998-08-11;36.7;30.0;31.3;34.4;1.7419354838709695
641;95097;2001-08-25;31.9;28.4;31.3;34.4;0.19354838709677363
642;95097;2001-08-26;32.5;28.3;31.3;34.4;0.38709677419354843
670;95097;2002-06-17;32.3;28.1;31.3;34.4;0.3225806451612894
671;95097;2002-06-18;34.5;28.19000000000001;31.3;34.4;1.0322580645161294
673;95097;2002-07-29;32.3;30.5;31.3;34.4;0.3225806451612894
674;95097;2002-07-30;32.8;30.5;31.3;34.4;0.48387096774193467
676;95097;2002-08-19;31.6;29.2;31.3;34.4;0.0967741935483874
715;95097;2003-07-15;33.6;30.19000000000001;31.3;34.4;0.7419354838709685
716;95097;2003-07-16;32.2;30.2;31.3;34.4;0.2903225806451622
717;95097;2003-07-19;31.6;30.390000000000008;31.3;34.4;0.0967741935483874
718;95097;2003-07-20;32.9;30.4;31.3;34.4;0.5161290322580642
719;95097;2003-08-02;32.3;30.4;31.3;34.4;0.3225806451612894
720;95097;2003-08-03;34.1;30.4;31.3;34.4;0.9032258064516138
721;95097;2003-08-04;35.8;30.390000000000008;31.3;34.4;1.4516129032258063
722;95097;2003-08-05;36.7;30.3;31.3;34.4;1.7419354838709695
723;95097;2003-08-06;37.0;30.2;31.3;34.4;1.8387096774193559
