Woche;Zeitraum;Buchdrucker
0;04.04.2005-10.04.2005;
1;11.04.2005-17.04.2005;
2;18.04.2005-24.04.2005;
3;25.04.2005-01.05.2005;
4;02.05.2005-08.05.2005;
5;09.05.2005-15.05.2005;
6;16.05.2005-22.05.2005;
7;23.05.2005-29.05.2005;
8;30.05.2005-05.06.2005;
9;06.06.2005-12.06.2005;
10;13.06.2005-19.06.2005;
11;20.06.2005-26.06.2005;
12;27.06.2005-03.07.2005;
13;04.07.2005-10.07.2005;
14;11.07.2005-17.07.2005;
15;18.07.2005-24.07.2005;
16;25.07.2005-31.07.2005;
17;01.08.2005-07.08.2005;
18;08.08.2005-14.08.2005;
19;15.08.2005-21.08.2005;
20;22.08.2005-28.08.2005;
21;29.08.2005-04.09.2005;
22;05.09.2005-11.09.2005;
23;12.09.2005-18.09.2005;
24;19.09.2005-25.09.2005;
25;26.09.2005-02.10.2005;
26;03.10.2005-09.10.2005;
27;10.10.2005-16.10.2005;
28;17.10.2005-23.10.2005;
29;24.10.2005-30.10.2005;
30;31.10.2005-06.11.2005;
31;07.11.2005-13.11.2005;
32;14.11.2005-20.11.2005;
52;03.04.2006-09.04.2006;
53;10.04.2006-16.04.2006;
54;17.04.2006-23.04.2006;
55;24.04.2006-30.04.2006;
56;01.05.2006-07.05.2006;
57;08.05.2006-14.05.2006;
58;15.05.2006-21.05.2006;
59;22.05.2006-28.05.2006;
60;29.05.2006-04.06.2006;
61;05.06.2006-11.06.2006;
62;12.06.2006-18.06.2006;
63;19.06.2006-25.06.2006;
64;26.06.2006-02.07.2006;
65;03.07.2006-09.07.2006;
66;10.07.2006-16.07.2006;
67;17.07.2006-23.07.2006;
68;24.07.2006-30.07.2006;
69;31.07.2006-06.08.2006;
70;07.08.2006-13.08.2006;
71;14.08.2006-20.08.2006;
72;21.08.2006-27.08.2006;
73;28.08.2006-03.09.2006;
74;04.09.2006-10.09.2006;
75;11.09.2006-17.09.2006;
76;18.09.2006-24.09.2006;
77;25.09.2006-01.10.2006;
78;02.10.2006-08.10.2006;
79;09.10.2006-15.10.2006;
80;16.10.2006-22.10.2006;
81;23.10.2006-29.10.2006;
82;30.10.2006-05.11.2006;
85;20.11.2006-26.11.2006;
100;05.03.2007-11.03.2007;
101;12.03.2007-18.03.2007;
102;19.03.2007-25.03.2007;
103;26.03.2007-01.04.2007;
104;02.04.2007-08.04.2007;
105;09.04.2007-15.04.2007;
106;16.04.2007-22.04.2007;
107;23.04.2007-29.04.2007;
108;30.04.2007-06.05.2007;
109;07.05.2007-13.05.2007;
110;14.05.2007-20.05.2007;
111;21.05.2007-27.05.2007;
112;28.05.2007-03.06.2007;
113;04.06.2007-10.06.2007;
114;11.06.2007-17.06.2007;
115;18.06.2007-24.06.2007;
116;25.06.2007-01.07.2007;
117;02.07.2007-08.07.2007;
118;09.07.2007-15.07.2007;
119;16.07.2007-22.07.2007;
120;23.07.2007-29.07.2007;
121;30.07.2007-05.08.2007;
122;06.08.2007-12.08.2007;
123;13.08.2007-19.08.2007;
124;20.08.2007-26.08.2007;
125;27.08.2007-02.09.2007;
126;03.09.2007-09.09.2007;
127;10.09.2007-16.09.2007;
128;17.09.2007-23.09.2007;
129;24.09.2007-30.09.2007;
130;01.10.2007-07.10.2007;
131;08.10.2007-14.10.2007;
132;15.10.2007-21.10.2007;
133;22.10.2007-28.10.2007;
134;29.10.2007-04.11.2007;
135;05.11.2007-11.11.2007;
156;31.03.2008-06.04.2008;
157;07.04.2008-13.04.2008;
158;14.04.2008-20.04.2008;
159;21.04.2008-27.04.2008;
160;28.04.2008-04.05.2008;
161;05.05.2008-11.05.2008;
162;12.05.2008-18.05.2008;
163;19.05.2008-25.05.2008;
164;26.05.2008-01.06.2008;
165;02.06.2008-08.06.2008;
166;09.06.2008-15.06.2008;
167;16.06.2008-22.06.2008;
168;23.06.2008-29.06.2008;
169;30.06.2008-06.07.2008;
170;07.07.2008-13.07.2008;
171;14.07.2008-20.07.2008;
172;21.07.2008-27.07.2008;
173;28.07.2008-03.08.2008;
174;04.08.2008-10.08.2008;
175;11.08.2008-17.08.2008;
176;18.08.2008-24.08.2008;
177;25.08.2008-31.08.2008;
178;01.09.2008-07.09.2008;
179;08.09.2008-14.09.2008;
180;15.09.2008-21.09.2008;
181;22.09.2008-28.09.2008;
182;29.09.2008-05.10.2008;
183;06.10.2008-12.10.2008;
184;13.10.2008-19.10.2008;
185;20.10.2008-26.10.2008;
186;27.10.2008-02.11.2008;
187;03.11.2008-09.11.2008;
207;23.03.2009-29.03.2009;
208;30.03.2009-05.04.2009;
209;06.04.2009-12.04.2009;
210;13.04.2009-19.04.2009;
211;20.04.2009-26.04.2009;
212;27.04.2009-03.05.2009;
213;04.05.2009-10.05.2009;
214;11.05.2009-17.05.2009;
215;18.05.2009-24.05.2009;
216;25.05.2009-31.05.2009;
217;01.06.2009-07.06.2009;
218;08.06.2009-14.06.2009;
219;15.06.2009-21.06.2009;
220;22.06.2009-28.06.2009;
221;29.06.2009-05.07.2009;
222;06.07.2009-12.07.2009;
223;13.07.2009-19.07.2009;
224;20.07.2009-26.07.2009;
225;27.07.2009-02.08.2009;
226;03.08.2009-09.08.2009;
227;10.08.2009-16.08.2009;
228;17.08.2009-23.08.2009;
229;24.08.2009-30.08.2009;
230;31.08.2009-06.09.2009;
231;07.09.2009-13.09.2009;
232;14.09.2009-20.09.2009;
233;21.09.2009-27.09.2009;
234;28.09.2009-04.10.2009;
235;05.10.2009-11.10.2009;
236;12.10.2009-18.10.2009;
237;19.10.2009-25.10.2009;
238;26.10.2009-01.11.2009;
239;02.11.2009-08.11.2009;
240;09.11.2009-15.11.2009;
241;16.11.2009-22.11.2009;
258;15.03.2010-21.03.2010;
259;22.03.2010-28.03.2010;
260;29.03.2010-04.04.2010;
261;05.04.2010-11.04.2010;
262;12.04.2010-18.04.2010;
263;19.04.2010-25.04.2010;
264;26.04.2010-02.05.2010;
265;03.05.2010-09.05.2010;
266;10.05.2010-16.05.2010;
267;17.05.2010-23.05.2010;
268;24.05.2010-30.05.2010;
269;31.05.2010-06.06.2010;
270;07.06.2010-13.06.2010;
271;14.06.2010-20.06.2010;
272;21.06.2010-27.06.2010;
